contrato_id,tipo_contrato,texto_clausula,tipo_clausula,es_abusiva,severidad,articulo_violado,descripcion_riesgo,pais
REF-0016,laboral,El empleador podra compartir datos personales y biometricos del trabajador con terceros sin consentimiento adicional. previa coordinacion entre las partes.,datos_personales,1,critico,Ley 29733,Tratamiento excesivo de datos personales sin base suficiente,Colombia
REF-0017,laboral,La empresa pagara la remuneracion mensual dentro de los primeros cinco dias habiles de cada mes. salvo acuerdo expreso en contrario.,remuneracion,0,bajo,,Clausula regular de pago oportuno,Espana
REF-0018,laboral,La empresa pagara la remuneracion mensual dentro de los primeros cinco dias habiles de cada mes. salvo acuerdo expreso en contrario.,remuneracion,0,bajo,,Clausula regular de pago oportuno,Peru
REF-0019,laboral,"El empleador podra modificar unilateralmente funciones, salario y lugar de trabajo sin aviso previo. respetando la normativa peruana vigente.",modificacion_unilateral,1,critico,Art. 1362 CC,Facultad unilateral desproporcionada,Espana
REF-0020,laboral,El empleador podra compartir datos personales y biometricos del trabajador con terceros sin consentimiento adicional. previa coordinacion entre las partes.,datos_personales,1,critico,Ley 29733,Tratamiento excesivo de datos personales sin base suficiente,Chile
REF-0021,laboral,Toda controversia laboral sera resuelta solo por arbitraje privado obligatorio renunciando a la via judicial. segun buena fe contractual.,arbitraje,1,alto,Art. 1398 CC,Renuncia anticipada a tutela jurisdiccional,Peru
REF-0022,laboral,Toda controversia laboral sera resuelta solo por arbitraje privado obligatorio renunciando a la via judicial. con notificacion escrita previa.,arbitraje,1,alto,Art. 1398 CC,Renuncia anticipada a tutela jurisdiccional,Colombia
REF-0023,laboral,La empresa pagara la remuneracion mensual dentro de los primeros cinco dias habiles de cada mes. con notificacion escrita previa.,remuneracion,0,bajo,,Clausula regular de pago oportuno,Peru
REF-0024,laboral,La obligacion de confidencialidad se mantendra por dos anos luego del cese laboral. respetando la normativa peruana vigente.,confidencialidad,0,bajo,,Confidencialidad con plazo razonable,Mexico
REF-0025,laboral,Toda controversia laboral sera resuelta solo por arbitraje privado obligatorio renunciando a la via judicial. respetando la normativa peruana vigente.,arbitraje,1,alto,Art. 1398 CC,Renuncia anticipada a tutela jurisdiccional,Chile
REF-0026,laboral,El empleador podra compartir datos personales y biometricos del trabajador con terceros sin consentimiento adicional. respetando la normativa peruana vigente.,datos_personales,1,critico,Ley 29733,Tratamiento excesivo de datos personales sin base suficiente,Chile
REF-0027,laboral,Toda controversia laboral sera resuelta solo por arbitraje privado obligatorio renunciando a la via judicial. respetando la normativa peruana vigente.,arbitraje,1,alto,Art. 1398 CC,Renuncia anticipada a tutela jurisdiccional,Peru
REF-0028,laboral,"El empleador podra modificar unilateralmente funciones, salario y lugar de trabajo sin aviso previo. con notificacion escrita previa.",modificacion_unilateral,1,critico,Art. 1362 CC,Facultad unilateral desproporcionada,Espana
REF-0029,laboral,Toda controversia laboral sera resuelta solo por arbitraje privado obligatorio renunciando a la via judicial. con notificacion escrita previa.,arbitraje,1,alto,Art. 1398 CC,Renuncia anticipada a tutela jurisdiccional,Chile
REF-0030,laboral,La obligacion de confidencialidad se mantendra por dos anos luego del cese laboral. salvo acuerdo expreso en contrario.,confidencialidad,0,bajo,,Confidencialidad con plazo razonable,Colombia
REF-0031,laboral,Toda controversia laboral sera resuelta solo por arbitraje privado obligatorio renunciando a la via judicial. previa coordinacion entre las partes.,arbitraje,1,alto,Art. 1398 CC,Renuncia anticipada a tutela jurisdiccional,Chile
REF-0032,laboral,Toda controversia laboral sera resuelta solo por arbitraje privado obligatorio renunciando a la via judicial. respetando la normativa peruana vigente.,arbitraje,1,alto,Art. 1398 CC,Renuncia anticipada a tutela jurisdiccional,Peru
REF-0033,laboral,El trabajador no podra laborar para competidores durante cinco anos en todo el pais sin compensacion economica. segun buena fe contractual.,no_competencia,1,alto,Art. 1400 CC,Restriccion amplia de no competencia sin compensacion,Colombia
REF-0034,laboral,La obligacion de confidencialidad se mantendra por dos anos luego del cese laboral. respetando la normativa peruana vigente.,confidencialidad,0,bajo,,Confidencialidad con plazo razonable,Peru
REF-0035,laboral,El trabajador no podra laborar para competidores durante cinco anos en todo el pais sin compensacion economica. previa coordinacion entre las partes.,no_competencia,1,alto,Art. 1400 CC,Restriccion amplia de no competencia sin compensacion,Colombia
REF-0036,laboral,El trabajador no podra laborar para competidores durante cinco anos en todo el pais sin compensacion economica. salvo acuerdo expreso en contrario.,no_competencia,1,alto,Art. 1400 CC,Restriccion amplia de no competencia sin compensacion,Mexico
REF-0037,laboral,Toda controversia laboral sera resuelta solo por arbitraje privado obligatorio renunciando a la via judicial. salvo acuerdo expreso en contrario.,arbitraje,1,alto,Art. 1398 CC,Renuncia anticipada a tutela jurisdiccional,Chile
REF-0038,laboral,El empleador podra compartir datos personales y biometricos del trabajador con terceros sin consentimiento adicional. con notificacion escrita previa.,datos_personales,1,critico,Ley 29733,Tratamiento excesivo de datos personales sin base suficiente,Chile
REF-0039,laboral,Toda controversia laboral sera resuelta solo por arbitraje privado obligatorio renunciando a la via judicial. previa coordinacion entre las partes.,arbitraje,1,alto,Art. 1398 CC,Renuncia anticipada a tutela jurisdiccional,Espana
REF-0040,laboral,El empleador podra compartir datos personales y biometricos del trabajador con terceros sin consentimiento adicional. previa coordinacion entre las partes.,datos_personales,1,critico,Ley 29733,Tratamiento excesivo de datos personales sin base suficiente,Mexico
REF-0041,laboral,"El empleador podra modificar unilateralmente funciones, salario y lugar de trabajo sin aviso previo. salvo acuerdo expreso en contrario.",modificacion_unilateral,1,critico,Art. 1362 CC,Facultad unilateral desproporcionada,Colombia
REF-0042,laboral,El trabajador no podra laborar para competidores durante cinco anos en todo el pais sin compensacion economica. con notificacion escrita previa.,no_competencia,1,alto,Art. 1400 CC,Restriccion amplia de no competencia sin compensacion,Espana
REF-0043,laboral,La obligacion de confidencialidad se mantendra por dos anos luego del cese laboral. segun buena fe contractual.,confidencialidad,0,bajo,,Confidencialidad con plazo razonable,Peru
REF-0044,laboral,La empresa pagara la remuneracion mensual dentro de los primeros cinco dias habiles de cada mes. con notificacion escrita previa.,remuneracion,0,bajo,,Clausula regular de pago oportuno,Chile
REF-0045,laboral,Toda controversia laboral sera resuelta solo por arbitraje privado obligatorio renunciando a la via judicial. salvo acuerdo expreso en contrario.,arbitraje,1,alto,Art. 1398 CC,Renuncia anticipada a tutela jurisdiccional,Espana
REF-0046,laboral,La empresa pagara la remuneracion mensual dentro de los primeros cinco dias habiles de cada mes. salvo acuerdo expreso en contrario.,remuneracion,0,bajo,,Clausula regular de pago oportuno,Mexico
REF-0047,laboral,"El empleador podra modificar unilateralmente funciones, salario y lugar de trabajo sin aviso previo. salvo acuerdo expreso en contrario.",modificacion_unilateral,1,critico,Art. 1362 CC,Facultad unilateral desproporcionada,Espana
REF-0048,laboral,El empleador podra compartir datos personales y biometricos del trabajador con terceros sin consentimiento adicional. previa coordinacion entre las partes.,datos_personales,1,critico,Ley 29733,Tratamiento excesivo de datos personales sin base suficiente,Peru
REF-0049,laboral,Toda controversia laboral sera resuelta solo por arbitraje privado obligatorio renunciando a la via judicial. segun buena fe contractual.,arbitraje,1,alto,Art. 1398 CC,Renuncia anticipada a tutela jurisdiccional,Espana
REF-0050,laboral,El empleador podra compartir datos personales y biometricos del trabajador con terceros sin consentimiento adicional. respetando la normativa peruana vigente.,datos_personales,1,critico,Ley 29733,Tratamiento excesivo de datos personales sin base suficiente,Peru
REF-0051,laboral,El empleador podra compartir datos personales y biometricos del trabajador con terceros sin consentimiento adicional. salvo acuerdo expreso en contrario.,datos_personales,1,critico,Ley 29733,Tratamiento excesivo de datos personales sin base suficiente,Chile
REF-0052,laboral,La obligacion de confidencialidad se mantendra por dos anos luego del cese laboral. segun buena fe contractual.,confidencialidad,0,bajo,,Confidencialidad con plazo razonable,Colombia
REF-0053,laboral,"El empleador podra modificar unilateralmente funciones, salario y lugar de trabajo sin aviso previo. con notificacion escrita previa.",modificacion_unilateral,1,critico,Art. 1362 CC,Facultad unilateral desproporcionada,Espana
REF-0054,laboral,La empresa pagara la remuneracion mensual dentro de los primeros cinco dias habiles de cada mes. respetando la normativa peruana vigente.,remuneracion,0,bajo,,Clausula regular de pago oportuno,Espana
REF-0055,laboral,"El empleador podra modificar unilateralmente funciones, salario y lugar de trabajo sin aviso previo. con notificacion escrita previa.",modificacion_unilateral,1,critico,Art. 1362 CC,Facultad unilateral desproporcionada,Chile
REF-0056,laboral,El empleador podra compartir datos personales y biometricos del trabajador con terceros sin consentimiento adicional. con notificacion escrita previa.,datos_personales,1,critico,Ley 29733,Tratamiento excesivo de datos personales sin base suficiente,Espana
REF-0057,laboral,"El empleador podra modificar unilateralmente funciones, salario y lugar de trabajo sin aviso previo. segun buena fe contractual.",modificacion_unilateral,1,critico,Art. 1362 CC,Facultad unilateral desproporcionada,Espana
REF-0058,laboral,El empleador podra compartir datos personales y biometricos del trabajador con terceros sin consentimiento adicional. salvo acuerdo expreso en contrario.,datos_personales,1,critico,Ley 29733,Tratamiento excesivo de datos personales sin base suficiente,Peru
REF-0059,laboral,La empresa pagara la remuneracion mensual dentro de los primeros cinco dias habiles de cada mes. respetando la normativa peruana vigente.,remuneracion,0,bajo,,Clausula regular de pago oportuno,Colombia
REF-0060,laboral,El trabajador no podra laborar para competidores durante cinco anos en todo el pais sin compensacion economica. segun buena fe contractual.,no_competencia,1,alto,Art. 1400 CC,Restriccion amplia de no competencia sin compensacion,Chile
REF-0061,arrendamiento,El arrendador podra publicar la deuda y datos personales del arrendatario en redes sociales ante cualquier incumplimiento. segun buena fe contractual.,datos_personales,1,critico,Ley 29733,Difusion ilicita de datos personales,Peru
REF-0062,arrendamiento,El arrendatario no podra abrir negocios similares en la ciudad durante diez anos despues del contrato. salvo acuerdo expreso en contrario.,no_competencia,1,alto,Art. 1400 CC,No competencia desproporcionada en arrendamiento,Peru
REF-0063,arrendamiento,El arrendador podra publicar la deuda y datos personales del arrendatario en redes sociales ante cualquier incumplimiento. con notificacion escrita previa.,datos_personales,1,critico,Ley 29733,Difusion ilicita de datos personales,Chile
REF-0064,arrendamiento,El arrendatario no podra abrir negocios similares en la ciudad durante diez anos despues del contrato. salvo acuerdo expreso en contrario.,no_competencia,1,alto,Art. 1400 CC,No competencia desproporcionada en arrendamiento,Espana
REF-0065,arrendamiento,El arrendatario pagara una penalidad equivalente al 80% de la renta mensual por cada dia de retraso. respetando la normativa peruana vigente.,penalidad,1,critico,Art. 1346 CC,Penalidad manifiestamente excesiva,Espana
REF-0066,arrendamiento,El arrendador podra publicar la deuda y datos personales del arrendatario en redes sociales ante cualquier incumplimiento. salvo acuerdo expreso en contrario.,datos_personales,1,critico,Ley 29733,Difusion ilicita de datos personales,Chile
REF-0067,arrendamiento,El arrendador podra publicar la deuda y datos personales del arrendatario en redes sociales ante cualquier incumplimiento. con notificacion escrita previa.,datos_personales,1,critico,Ley 29733,Difusion ilicita de datos personales,Colombia
REF-0068,arrendamiento,Las reparaciones estructurales del inmueble corresponderan al arrendador salvo dano imputable al arrendatario. respetando la normativa peruana vigente.,mantenimiento,0,bajo,,Distribucion razonable de obligaciones,Mexico
REF-0069,arrendamiento,El arrendador podra publicar la deuda y datos personales del arrendatario en redes sociales ante cualquier incumplimiento. salvo acuerdo expreso en contrario.,datos_personales,1,critico,Ley 29733,Difusion ilicita de datos personales,Peru
REF-0070,arrendamiento,El arrendatario pagara una penalidad equivalente al 80% de la renta mensual por cada dia de retraso. con notificacion escrita previa.,penalidad,1,critico,Art. 1346 CC,Penalidad manifiestamente excesiva,Peru
REF-0071,arrendamiento,El arrendador podra resolver el contrato sin preaviso y sin expresar causa en cualquier momento. segun buena fe contractual.,rescision,1,alto,Art. 1371 CC,Resolucion unilateral sin preaviso,Espana
REF-0072,arrendamiento,El arrendador podra publicar la deuda y datos personales del arrendatario en redes sociales ante cualquier incumplimiento. con notificacion escrita previa.,datos_personales,1,critico,Ley 29733,Difusion ilicita de datos personales,Espana
REF-0073,arrendamiento,El arrendatario pagara una penalidad equivalente al 80% de la renta mensual por cada dia de retraso. segun buena fe contractual.,penalidad,1,critico,Art. 1346 CC,Penalidad manifiestamente excesiva,Peru
REF-0074,arrendamiento,El arrendatario no podra abrir negocios similares en la ciudad durante diez anos despues del contrato. segun buena fe contractual.,no_competencia,1,alto,Art. 1400 CC,No competencia desproporcionada en arrendamiento,Chile
REF-0075,arrendamiento,El plazo del arrendamiento sera de doce meses renovables por acuerdo escrito de las partes. segun buena fe contractual.,plazo,0,bajo,,Plazo claramente determinado,Colombia
REF-0076,arrendamiento,El plazo del arrendamiento sera de doce meses renovables por acuerdo escrito de las partes. previa coordinacion entre las partes.,plazo,0,bajo,,Plazo claramente determinado,Chile
REF-0077,arrendamiento,El arrendador podra resolver el contrato sin preaviso y sin expresar causa en cualquier momento. salvo acuerdo expreso en contrario.,rescision,1,alto,Art. 1371 CC,Resolucion unilateral sin preaviso,Chile
REF-0078,arrendamiento,El arrendador podra publicar la deuda y datos personales del arrendatario en redes sociales ante cualquier incumplimiento. con notificacion escrita previa.,datos_personales,1,critico,Ley 29733,Difusion ilicita de datos personales,Espana
REF-0079,arrendamiento,El arrendador podra publicar la deuda y datos personales del arrendatario en redes sociales ante cualquier incumplimiento. salvo acuerdo expreso en contrario.,datos_personales,1,critico,Ley 29733,Difusion ilicita de datos personales,Chile
REF-0080,arrendamiento,Las reparaciones estructurales del inmueble corresponderan al arrendador salvo dano imputable al arrendatario. salvo acuerdo expreso en contrario.,mantenimiento,0,bajo,,Distribucion razonable de obligaciones,Chile
REF-0081,arrendamiento,El plazo del arrendamiento sera de doce meses renovables por acuerdo escrito de las partes. segun buena fe contractual.,plazo,0,bajo,,Plazo claramente determinado,Mexico
REF-0082,arrendamiento,El arrendador podra resolver el contrato sin preaviso y sin expresar causa en cualquier momento. salvo acuerdo expreso en contrario.,rescision,1,alto,Art. 1371 CC,Resolucion unilateral sin preaviso,Mexico
REF-0083,arrendamiento,Las reparaciones estructurales del inmueble corresponderan al arrendador salvo dano imputable al arrendatario. segun buena fe contractual.,mantenimiento,0,bajo,,Distribucion razonable de obligaciones,Peru
REF-0084,arrendamiento,El plazo del arrendamiento sera de doce meses renovables por acuerdo escrito de las partes. salvo acuerdo expreso en contrario.,plazo,0,bajo,,Plazo claramente determinado,Colombia
REF-0085,arrendamiento,El plazo del arrendamiento sera de doce meses renovables por acuerdo escrito de las partes. con notificacion escrita previa.,plazo,0,bajo,,Plazo claramente determinado,Chile
REF-0086,arrendamiento,El arrendatario pagara una penalidad equivalente al 80% de la renta mensual por cada dia de retraso. previa coordinacion entre las partes.,penalidad,1,critico,Art. 1346 CC,Penalidad manifiestamente excesiva,Mexico
REF-0087,arrendamiento,El arrendatario pagara una penalidad equivalente al 80% de la renta mensual por cada dia de retraso. salvo acuerdo expreso en contrario.,penalidad,1,critico,Art. 1346 CC,Penalidad manifiestamente excesiva,Chile
REF-0088,arrendamiento,El arrendador podra resolver el contrato sin preaviso y sin expresar causa en cualquier momento. salvo acuerdo expreso en contrario.,rescision,1,alto,Art. 1371 CC,Resolucion unilateral sin preaviso,Chile
REF-0089,arrendamiento,El plazo del arrendamiento sera de doce meses renovables por acuerdo escrito de las partes. salvo acuerdo expreso en contrario.,plazo,0,bajo,,Plazo claramente determinado,Espana
REF-0090,arrendamiento,El plazo del arrendamiento sera de doce meses renovables por acuerdo escrito de las partes. segun buena fe contractual.,plazo,0,bajo,,Plazo claramente determinado,Espana
REF-0091,arrendamiento,El plazo del arrendamiento sera de doce meses renovables por acuerdo escrito de las partes. segun buena fe contractual.,plazo,0,bajo,,Plazo claramente determinado,Chile
REF-0092,arrendamiento,El arrendatario pagara una penalidad equivalente al 80% de la renta mensual por cada dia de retraso. salvo acuerdo expreso en contrario.,penalidad,1,critico,Art. 1346 CC,Penalidad manifiestamente excesiva,Mexico
REF-0093,arrendamiento,Las reparaciones estructurales del inmueble corresponderan al arrendador salvo dano imputable al arrendatario. con notificacion escrita previa.,mantenimiento,0,bajo,,Distribucion razonable de obligaciones,Mexico
REF-0094,arrendamiento,El plazo del arrendamiento sera de doce meses renovables por acuerdo escrito de las partes. con notificacion escrita previa.,plazo,0,bajo,,Plazo claramente determinado,Mexico
REF-0095,arrendamiento,El plazo del arrendamiento sera de doce meses renovables por acuerdo escrito de las partes. salvo acuerdo expreso en contrario.,plazo,0,bajo,,Plazo claramente determinado,Colombia
REF-0096,arrendamiento,Las reparaciones estructurales del inmueble corresponderan al arrendador salvo dano imputable al arrendatario. respetando la normativa peruana vigente.,mantenimiento,0,bajo,,Distribucion razonable de obligaciones,Mexico
REF-0097,arrendamiento,El arrendatario no podra abrir negocios similares en la ciudad durante diez anos despues del contrato. previa coordinacion entre las partes.,no_competencia,1,alto,Art. 1400 CC,No competencia desproporcionada en arrendamiento,Mexico
REF-0098,arrendamiento,El arrendatario pagara una penalidad equivalente al 80% de la renta mensual por cada dia de retraso. con notificacion escrita previa.,penalidad,1,critico,Art. 1346 CC,Penalidad manifiestamente excesiva,Colombia
REF-0099,arrendamiento,El arrendatario pagara una penalidad equivalente al 80% de la renta mensual por cada dia de retraso. segun buena fe contractual.,penalidad,1,critico,Art. 1346 CC,Penalidad manifiestamente excesiva,Espana
REF-0100,arrendamiento,El arrendatario no podra abrir negocios similares en la ciudad durante diez anos despues del contrato. previa coordinacion entre las partes.,no_competencia,1,alto,Art. 1400 CC,No competencia desproporcionada en arrendamiento,Peru
REF-0101,arrendamiento,El arrendatario no podra abrir negocios similares en la ciudad durante diez anos despues del contrato. respetando la normativa peruana vigente.,no_competencia,1,alto,Art. 1400 CC,No competencia desproporcionada en arrendamiento,Peru
REF-0102,arrendamiento,El plazo del arrendamiento sera de doce meses renovables por acuerdo escrito de las partes. previa coordinacion entre las partes.,plazo,0,bajo,,Plazo claramente determinado,Mexico
REF-0103,arrendamiento,El arrendador podra publicar la deuda y datos personales del arrendatario en redes sociales ante cualquier incumplimiento. previa coordinacion entre las partes.,datos_personales,1,critico,Ley 29733,Difusion ilicita de datos personales,Chile
REF-0104,arrendamiento,El plazo del arrendamiento sera de doce meses renovables por acuerdo escrito de las partes. previa coordinacion entre las partes.,plazo,0,bajo,,Plazo claramente determinado,Peru
REF-0105,arrendamiento,El arrendatario pagara una penalidad equivalente al 80% de la renta mensual por cada dia de retraso. segun buena fe contractual.,penalidad,1,critico,Art. 1346 CC,Penalidad manifiestamente excesiva,Espana
REF-0106,arrendamiento,El plazo del arrendamiento sera de doce meses renovables por acuerdo escrito de las partes. con notificacion escrita previa.,plazo,0,bajo,,Plazo claramente determinado,Mexico
REF-0107,arrendamiento,El plazo del arrendamiento sera de doce meses renovables por acuerdo escrito de las partes. previa coordinacion entre las partes.,plazo,0,bajo,,Plazo claramente determinado,Chile
REF-0108,arrendamiento,El arrendador podra publicar la deuda y datos personales del arrendatario en redes sociales ante cualquier incumplimiento. previa coordinacion entre las partes.,datos_personales,1,critico,Ley 29733,Difusion ilicita de datos personales,Peru
REF-0109,arrendamiento,El arrendador podra publicar la deuda y datos personales del arrendatario en redes sociales ante cualquier incumplimiento. segun buena fe contractual.,datos_personales,1,critico,Ley 29733,Difusion ilicita de datos personales,Mexico
REF-0110,arrendamiento,El arrendatario no podra abrir negocios similares en la ciudad durante diez anos despues del contrato. previa coordinacion entre las partes.,no_competencia,1,alto,Art. 1400 CC,No competencia desproporcionada en arrendamiento,Espana
REF-0111,arrendamiento,El arrendador podra publicar la deuda y datos personales del arrendatario en redes sociales ante cualquier incumplimiento. respetando la normativa peruana vigente.,datos_personales,1,critico,Ley 29733,Difusion ilicita de datos personales,Colombia
REF-0112,arrendamiento,El arrendatario pagara una penalidad equivalente al 80% de la renta mensual por cada dia de retraso. respetando la normativa peruana vigente.,penalidad,1,critico,Art. 1346 CC,Penalidad manifiestamente excesiva,Chile
REF-0113,arrendamiento,El arrendador podra resolver el contrato sin preaviso y sin expresar causa en cualquier momento. salvo acuerdo expreso en contrario.,rescision,1,alto,Art. 1371 CC,Resolucion unilateral sin preaviso,Chile
REF-0114,arrendamiento,El arrendatario no podra abrir negocios similares en la ciudad durante diez anos despues del contrato. respetando la normativa peruana vigente.,no_competencia,1,alto,Art. 1400 CC,No competencia desproporcionada en arrendamiento,Mexico
REF-0115,arrendamiento,El arrendador podra resolver el contrato sin preaviso y sin expresar causa en cualquier momento. segun buena fe contractual.,rescision,1,alto,Art. 1371 CC,Resolucion unilateral sin preaviso,Peru
REF-0116,arrendamiento,Las reparaciones estructurales del inmueble corresponderan al arrendador salvo dano imputable al arrendatario. previa coordinacion entre las partes.,mantenimiento,0,bajo,,Distribucion razonable de obligaciones,Espana
REF-0117,arrendamiento,El plazo del arrendamiento sera de doce meses renovables por acuerdo escrito de las partes. segun buena fe contractual.,plazo,0,bajo,,Plazo claramente determinado,Espana
REF-0118,arrendamiento,El arrendatario pagara una penalidad equivalente al 80% de la renta mensual por cada dia de retraso. previa coordinacion entre las partes.,penalidad,1,critico,Art. 1346 CC,Penalidad manifiestamente excesiva,Colombia
REF-0119,arrendamiento,El arrendatario pagara una penalidad equivalente al 80% de la renta mensual por cada dia de retraso. respetando la normativa peruana vigente.,penalidad,1,critico,Art. 1346 CC,Penalidad manifiestamente excesiva,Peru
REF-0120,arrendamiento,El arrendatario pagara una penalidad equivalente al 80% de la renta mensual por cada dia de retraso. respetando la normativa peruana vigente.,penalidad,1,critico,Art. 1346 CC,Penalidad manifiestamente excesiva,Colombia
REF-0121,servicios,"Toda idea, documento, mejora o conocimiento previo del proveedor pasara automaticamente al cliente sin pago adicional. salvo acuerdo expreso en contrario.",propiedad_intelectual,1,alto,Dec. Leg. 822,Cesion total de propiedad intelectual sin delimitacion,Espana
REF-0122,servicios,El proveedor tratara datos personales solo para ejecutar el servicio y conforme a la ley peruana. respetando la normativa peruana vigente.,datos_personales,0,bajo,,Tratamiento acotado de datos,Espana
REF-0123,servicios,El proveedor tratara datos personales solo para ejecutar el servicio y conforme a la ley peruana. previa coordinacion entre las partes.,datos_personales,0,bajo,,Tratamiento acotado de datos,Peru
REF-0124,servicios,El proveedor tratara datos personales solo para ejecutar el servicio y conforme a la ley peruana. previa coordinacion entre las partes.,datos_personales,0,bajo,,Tratamiento acotado de datos,Colombia
REF-0125,servicios,El proveedor tratara datos personales solo para ejecutar el servicio y conforme a la ley peruana. segun buena fe contractual.,datos_personales,0,bajo,,Tratamiento acotado de datos,Chile
REF-0126,servicios,"El cliente podra variar unilateralmente el alcance, plazo y precio del servicio sin acuerdo del proveedor. segun buena fe contractual.",modificacion_unilateral,1,critico,Art. 1354 CC,Desequilibrio contractual por modificacion unilateral,Peru
REF-0127,servicios,El proveedor tratara datos personales solo para ejecutar el servicio y conforme a la ley peruana. previa coordinacion entre las partes.,datos_personales,0,bajo,,Tratamiento acotado de datos,Chile
REF-0128,servicios,"El cliente podra variar unilateralmente el alcance, plazo y precio del servicio sin acuerdo del proveedor. respetando la normativa peruana vigente.",modificacion_unilateral,1,critico,Art. 1354 CC,Desequilibrio contractual por modificacion unilateral,Espana
REF-0129,servicios,"Toda idea, documento, mejora o conocimiento previo del proveedor pasara automaticamente al cliente sin pago adicional. respetando la normativa peruana vigente.",propiedad_intelectual,1,alto,Dec. Leg. 822,Cesion total de propiedad intelectual sin delimitacion,Chile
REF-0130,servicios,El proveedor tratara datos personales solo para ejecutar el servicio y conforme a la ley peruana. respetando la normativa peruana vigente.,datos_personales,0,bajo,,Tratamiento acotado de datos,Espana
REF-0131,servicios,La informacion reservada podra divulgarse a filiales y consultores con medidas de seguridad equivalentes. respetando la normativa peruana vigente.,confidencialidad,0,medio,,Divulgacion controlada con salvaguardas,Peru
REF-0132,servicios,El proveedor prestara servicios de soporte y mantenimiento segun el cronograma pactado. salvo acuerdo expreso en contrario.,alcance,0,bajo,,Prestacion determinada,Colombia
REF-0133,servicios,El proveedor prestara servicios de soporte y mantenimiento segun el cronograma pactado. segun buena fe contractual.,alcance,0,bajo,,Prestacion determinada,Colombia
REF-0134,servicios,"Toda idea, documento, mejora o conocimiento previo del proveedor pasara automaticamente al cliente sin pago adicional. respetando la normativa peruana vigente.",propiedad_intelectual,1,alto,Dec. Leg. 822,Cesion total de propiedad intelectual sin delimitacion,Chile
REF-0135,servicios,El proveedor tratara datos personales solo para ejecutar el servicio y conforme a la ley peruana. salvo acuerdo expreso en contrario.,datos_personales,0,bajo,,Tratamiento acotado de datos,Espana
